10,admin@example.com,chemise,2
11,admin@example.com,chemise,2
12,batz.cleve@yahoo.com,chemise,2
13,admin@example.com,pantalon,2
14,admin@example.com,pantalon,200
15,admin@example.com,pantalon,30
16,admin@example.com,pantalon,1
17,batz.cleve@yahoo.com,pantalon,1
18,batz.cleve@yahoo.com,pantalon,1
19,bette.bechtelar@schowalter.info,pantalon,2
20,bette.bechtelar@schowalter.info,pantalon,4
21,bette.bechtelar@schowalter.info,pantalon,4
22,bette.bechtelar@schowalter.info,pantalon,4
23,bette.bechtelar@schowalter.info,pantalon,4
24,bette.bechtelar@schowalter.info,pantalon,6
25,bette.bechtelar@schowalter.info,pantalon,6
26,bette.bechtelar@schowalter.info,pantalon,6
27,bette.bechtelar@schowalter.info,pantalon,6
28,bette.bechtelar@schowalter.info,pantalon,6
29,bette.bechtelar@schowalter.info,pantalon,6
